colonia_cumpliemiento,codigo_postal,alcaldia_cumplimiento,colonia_predio,Average of valor_unitario_suelo,Average of valor_suelo
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,VILLA AZCAPOTZALCO,2353.03,430792.7324
INDUSTRIAL SAN ANTONIO,2730,AZCAPOTZALCO,Industrial San Antonio,2353.03,1371816.49
INDUSTRIAL SAN ANTONIO,2730,AZCAPOTZALCO,San Francisco Tetecala,2353.03,501195.39
INDUSTRIAL SAN ANTONIO,2730,AZCAPOTZALCO,Santa Lucia,2353.03,1648979.894
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Frac Ind San Antonio,2353.03,2302439.855
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fracc Ind San Antonio,2353.03,3130690.728
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fracc Industral San Antonio,2353.03,2468328
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,FRACC INDUSTRIA SAN ANTONIO,2353.03,2290674.705
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fracc Industrial San Antonio,2353.03,7499553.686
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fracc. Ind. San Antonio,2353.03,2871908.41
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fracc. Industrial San Antonio,2353.03,12913428.64
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Fraccionamiento Industrial San Antonio,2353.03,1662415.695
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Ind San Antonio,2353.03,1221222.57
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Ind. San Antonio,2353.03,5750805.32
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Industrial San Antionio Atzc,2353.03,223537.85
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Industrial San Antonio Atzc,2353.03,2164003.257
INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,Santa Lucia,2353.03,1705946.75
PLENITUD,2790,AZCAPOTZALCO,Plentud,2353.03,521666.751
PUEBLO SAN FRANCISCO TETECALA,2460,AZCAPOTZALCO,La Preciosa,2353.03,691790.82
PUEBLO SAN FRANCISCO TETECALA,2470,AZCAPOTZALCO,AmpliaciÃ¯Â¿Â½n Petrolera,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2480,AZCAPOTZALCO,Ampl. Petrolera,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2480,AZCAPOTZALCO,Santo Domingo,2353.03,12536943.84
PUEBLO SAN FRANCISCO TETECALA,2490,AZCAPOTZALCO,Amp. Petrolera,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2490,AZCAPOTZALCO,San Mateo,2353.03,421192.37
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,,2353.03,1995369.44
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,'-,2353.03,496489
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Ampliacion Petrolera,2353.03,44035.27571
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Ampliacon Petrolera,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Azcapotzalco,2353.03,517666.6
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,BARRIO  SAN  FRANCISCO   TETECALA,2353.03,47060.6
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Barrio de Sn Francisco Tetecala,2353.03,282363.6
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Barrio Sn.fco. Tetecala,2353.03,811301.2137
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Bo San Fco Azcapotzalco,2353.03,480018.12
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Fracc. Industrial San Antonio,2353.03,5044896.32
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Fto Industrial San Antonio,2353.03,3837792
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Idndustrial San Antonio,2353.03,1701240.69
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Indutrial San Antonio,2353.03,588257.5
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,PBLO SAN FRANCISCO TETECALA,2353.03,226675.2233
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,PBO SAN FRANCISCO TETECALA,2353.03,2238254.132
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Pbo. SAN FRANCISCO TETECALA,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Petrolera,2353.03,152946.95
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,PO. SAN FRANCISCO TETECALA,2353.03,91768.17
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,San Antonio,2353.03,432957.52
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,San Fco Tetecala,2353.03,655318.855
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,San Fco. Tetecala,2353.03,2780609.166
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,San Francisco,2353.03,990625.63
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Sn Fco Tetecala,2353.03,5115487.22
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Sn Francisco Tetecola,2353.03,287069.66
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Sn. Francisco Tetecala,2353.03,663554.46
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Tetecala,2353.03,332953.745
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,U H Lerdo de Tejada,2353.03,44707.57
PUEBLO SAN FRANCISCO TETECALA,2760,AZCAPOTZALCO,Fraccionamiento Industria San Antonio,2353.03,2364795.15
PUEBLO SAN FRANCISCO TETECALA,2790,AZCAPOTZALCO,Industrial San Antonio,2353.03,2596262.711
PUEBLO SAN FRANCISCO TETECALA,2790,AZCAPOTZALCO,PUEBLO SAN FRANCISCO TETECALA,2353.03,1055580.366
PUEBLO SAN FRANCISCO TETECALA,2790,AZCAPOTZALCO,Santa Apolonia,2353.03,364601.9985
PUEBLO SAN FRANCISCO TETECALA,2790,AZCAPOTZALCO,STA APOLONIA,2353.03,1325381.124
PUEBLO SANTA CRUZ ACAYUCAN,2780,AZCAPOTZALCO,Plenitud,2353.03,357660.56
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,Plenitud,2353.03,397269.8983
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,PUEBLO SANTA CRUZ ACAYUCAN,2353.03,600022.65
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,Santa Apolonia,2353.03,310599.96
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,Santa Cruz Acayucan,2353.03,524725.69
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,STA APOLONIA,2353.03,1081805.543
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,Sta Cruz Acayucan,2353.03,282363.6
PUEBLO SANTA CRUZ ACAYUCAN,2790,AZCAPOTZALCO,Sta. Apolonia,2353.03,136475.74
AMPLIACION PETROLERA,2470,AZCAPOTZALCO,Santo Domingo,2353.03,935665.5721
AMPLIACION PETROLERA,2480,AZCAPOTZALCO,Ampliacion Petrolera,2353.03,276410.4341
AMPLIACION PETROLERA,2730,AZCAPOTZALCO,San Francisco Tetecala,2353.03,68069.79643
BARRIO SAN MATEO,2490,AZCAPOTZALCO,San Mateo,2353.03,126289.1431
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,Bo Santa Apolonia,2353.03,403765.957
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,Santa Cruz Acayucan,2353.03,448924.5093
AMPLIACION PETROLERA,2480,AZCAPOTZALCO,Ampl.Petrolera,2353.03,3804326.67
AMPLIACION PETROLERA,2480,AZCAPOTZALCO,Petrolera,2353.03,316460.7477
BARRIO SAN MATEO,2460,AZCAPOTZALCO,La Presiosa,2353.03,72473.324
BARRIO SAN MATEO,2490,AZCAPOTZALCO,La Preciosa,2353.03,348076.0834
BARRIO SAN MATEO,2490,AZCAPOTZALCO,Santo Domingo,2353.03,544024.6849
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,STA APOLONIA,2353.03,705682.1194
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,Sta Cruz Acayucan,2353.03,51135.35927
BARRIO SANTA APOLONIA,2790,AZCAPOTZALCO,Sta. Apolonia,2353.03,137273.0552
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Ampl Petrolera,2353.03,44620.42074
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Industrial San Antonio,2353.03,5986373.593
PUEBLO SAN FRANCISCO TETECALA,2730,AZCAPOTZALCO,Santo Domingo,2353.03,321665.5654
BARRIO SAN MIGUEL,9360,IZTAPALAPA,Barrio de San Miguel,2352.600833,499854.5581
GABRIEL RAMOS MILLAN SECCION BRAMADERO,8000,IZTACALCO,Bramadero G Ramos Millan,2352.558889,279359.3596
GABRIEL RAMOS MILLAN SECCION BRAMADERO,8000,IZTACALCO,G. Ramos Millan,2352.558889,283174.1065
GRANJAS MEXICO,8400,IZTACALCO,CIUDAD DEPORTIVA MAGDALENA MIXUCA,2351.01,226484548.4
GUADALUPE DEL MORAL,9300,IZTAPALAPA,Guadalupe del Moral,2350.216455,2742682.584
EL SIFON,9010,IZTAPALAPA,REAL DEL MORAL,2350.21,282025.2
EL SIFON,9400,IZTAPALAPA,Aclatengo Iztapalapa,2350.21,169215.12
EL SIFON,9400,IZTAPALAPA,Amp Juanico Nextipac,2350.21,629856.28
EL SIFON,9400,IZTAPALAPA,Ampl El Sifon,2350.21,655708.59
EL SIFON,9400,IZTAPALAPA,Ampl Sifon,2350.21,129261.55
EL SIFON,9400,IZTAPALAPA,Ampl. El SifÃ¯Â¿Â½n,2350.21,470042
EL SIFON,9400,IZTAPALAPA,Ampl. El Sifon,2350.21,1278279.219
EL SIFON,9400,IZTAPALAPA,Ampl. Sifon,2350.21,491193.89
EL SIFON,9400,IZTAPALAPA,AmpliaciÃ¯Â¿Â½n Sifon,2350.21,711502.5754
EL SIFON,9400,IZTAPALAPA,Ampliacion del Sifon,2350.21,305527.3
EL SIFON,9400,IZTAPALAPA,Ampliacion El Triunfo,2350.21,260873.31
EL SIFON,9400,IZTAPALAPA,B El Sifon,2350.21,195067.43
EL SIFON,9400,IZTAPALAPA,Bo San Lucas,2350.21,1045843.45
EL SIFON,9400,IZTAPALAPA,Col El Sifon,2350.21,293776.25
EL SIFON,9400,IZTAPALAPA,Colonia El  Sifon,2350.21,270274.15
EL SIFON,9400,IZTAPALAPA,Colonia SifÃ¯Â¿Â½n,2350.21,149379.3476
EL SIFON,9400,IZTAPALAPA,El Sifon Iztacalco,2350.21,150413.44
EL SIFON,9400,IZTAPALAPA,El Sifonb,2350.21,164514.7
EL SIFON,9400,IZTAPALAPA,El Sifonico,2350.21,340780.45
EL SIFON,9400,IZTAPALAPA,El Sinfon,2350.21,1050543.87
EL SIFON,9400,IZTAPALAPA,El Sion,2350.21,169215.12
EL SIFON,9400,IZTAPALAPA,Elsifon,2350.21,303960.4933
EL SIFON,9400,IZTAPALAPA,Heroes de Churubusco,2350.21,782619.93
EL SIFON,9400,IZTAPALAPA,Magdalena Atlazolpa,2350.21,115160.29
EL SIFON,9400,IZTAPALAPA,Po; San Juanico Iztapalapa,2350.21,442544.543
EL SIFON,9400,IZTAPALAPA,Prol El Sifon,2350.21,1729754.56
EL SIFON,9400,IZTAPALAPA,Pueblo De San Juanico,2350.21,267923.94
EL SIFON,9400,IZTAPALAPA,San Juanico Iztapalapa,2350.21,1293790.605
EL SIFON,9400,IZTAPALAPA,San Juanico Nextipan,2350.21,354881.71
EL SIFON,9400,IZTAPALAPA,San Juanico Nextizpac,2350.21,282025.2
EL SIFON,9400,IZTAPALAPA,San Juanico Textipac,2350.21,401885.91
EL SIFON,9400,IZTAPALAPA,San Juanico Triunfo,2350.21,568750.82
EL SIFON,9400,IZTAPALAPA,SAN JUNICO NEXTIPAC,2350.21,411286.75
EL SIFON,9400,IZTAPALAPA,San Sifon,2350.21,1264553.993
EL SIFON,9400,IZTAPALAPA,Si,2350.21,408936.54
EL SIFON,9400,IZTAPALAPA,Sifon Ampliacion,2350.21,183316.38
EL SIFON,9400,IZTAPALAPA,Sifon O San Juanico,2350.21,58755.25
EL SIFON,9400,IZTAPALAPA,Sn Juanico,2350.21,
EL SIFON,9410,IZTAPALAPA,San Jose Aculco,2350.21,
EL SIFON,9430,IZTAPALAPA,,2350.21,411286.75
EL SIFON,9430,IZTAPALAPA,Apatlaco,2350.21,158639.175
EL SIFON,9430,IZTAPALAPA,El Triunfo,2350.21,592252.92
EL SIFON,9430,IZTAPALAPA,San Juanico Nextipac,2350.21,606354.18
EL SIFON,9460,IZTAPALAPA,Sifon,2350.21,408936.54
EL SIFON,9480,IZTAPALAPA,SifÃ¯Â¿Â½n,2350.21,268723.0114
EL SIFON,9800,IZTAPALAPA,SAN JUANICO,2350.21,634556.7
EL SIFON,9800,IZTAPALAPA,Sifon,2350.21,82257.35
EL SIFON,9938,IZTAPALAPA,,2350.21,554649.56
EL SIFON,9400,IZTAPALAPA,Amp El Sifon,2350.21,141274.6484
EL SIFON,9400,IZTAPALAPA,Ampliacion El Sifon,2350.21,539853.8129
EL SIFON,9400,IZTAPALAPA,Ampliacion Sifon,2350.21,546028.9897
EL SIFON,9400,IZTAPALAPA,El SifÃ¯Â¿Â½n,2350.21,875791.6552
EL SIFON,9400,IZTAPALAPA,SAN JUAN NEXTIPAC,2350.21,75542.46429
EL SIFON,9400,IZTAPALAPA,San Juanico Mextipac,2350.21,516772.0088
EL SIFON,9410,IZTAPALAPA,Magdalena Atlazolpa,2350.21,45829.095
EL SIFON,9430,IZTAPALAPA,Sifon,2350.21,75598.42167
EX-HACIENDA EL ROSARIO,2420,AZCAPOTZALCO,FRACC HACIENDA DEL ROSARIO,2349.826667,252577.7752
BARRIO SAN MIGUEL,9360,IZTAPALAPA,San Miguel,2349.599362,805719.9978
CRISTO REY,1170,ALVARO OBREGON,U Habitacional Sta Fe,2349.13,163729.8651
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacional Santa Fe Imss,2349.13,168371.8419
CRISTO REY,1170,ALVARO OBREGON,Unid Hab Santa Fe,2349.13,173083.2398
CRISTO REY,1209,ALVARO OBREGON,U Habit Sta Fe,2349.13,169268.7044
CRISTO REY,1170,ALVARO OBREGON,U H Santa Fe,2349.13,398569.0567
CRISTO REY,1170,ALVARO OBREGON,U Habitacional Santa Fe,2349.13,96495.03231
CRISTO REY,1170,ALVARO OBREGON,Unida Habitacional Santa Fe,2349.13,75507.75
CRISTO REY,1170,ALVARO OBREGON,Unidad H. Santa Fe,2349.13,77227.64875
CRISTO REY,1170,ALVARO OBREGON,Unidad Santa Fe,2349.13,84065.295
CRISTO REY,1209,ALVARO OBREGON,Unidad Hab Sta Fe,2349.13,170373.7442
1RA VICTORIA,1160,ALVARO OBREGON,Victoria 1 a Seccion,2349.13,211421.7
1RA VICTORIA,1170,ALVARO OBREGON,,2349.13,211388.8122
1RA VICTORIA,1170,ALVARO OBREGON,1a Secc Victoria,2349.13,211421.7
1RA VICTORIA,1170,ALVARO OBREGON,1a Victoria,2349.13,213770.83
1RA VICTORIA,1170,ALVARO OBREGON,Abraham Gonzalez,2349.13,277197.34
1RA VICTORIA,1170,ALVARO OBREGON,Primera Victoria,2349.13,211421.7
1RA VICTORIA,1170,ALVARO OBREGON,U H Santa Fe,2349.13,211421.7
1RA VICTORIA,1170,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,1118185.88
CRISTO REY,1120,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,197326.92
CRISTO REY,1140,ALVARO OBREGON,Bella Vista,2349.13,180883.01
CRISTO REY,1170,ALVARO OBREGON,Abrahan Gonzalez,2349.13,211421.7
CRISTO REY,1170,ALVARO OBREGON,Habitacional Santa Fe,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,Lomas De Becerra,2349.13,416970.575
CRISTO REY,1170,ALVARO OBREGON,U Bahitacional Sta Fe,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,U Habit Sta Fe,2349.13,254645.692
CRISTO REY,1170,ALVARO OBREGON,U Habitacional,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,U Habitacional Santa de,2349.13,32887.82
CRISTO REY,1170,ALVARO OBREGON,U Habitacional Sta,2349.13,197326.92
CRISTO REY,1170,ALVARO OBREGON,U Habitacoional Sta Fe,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,U Sta Fe Imss,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,U. H. Santa Fe,2349.13,73997.595
CRISTO REY,1170,ALVARO OBREGON,U. Hab. Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,U. Habitacional Santa Fe,2349.13,89266.94
CRISTO REY,1170,ALVARO OBREGON,U. Santa Fe,2349.13,197326.92
CRISTO REY,1170,ALVARO OBREGON,U.H. Santa Fe,2349.13,169137.36
CRISTO REY,1170,ALVARO OBREGON,U.h.santa Fe,2349.13,112758.24
CRISTO REY,1170,ALVARO OBREGON,U.habitacional Sta.fe I.m.s.s.,2349.13,211421.7
CRISTO REY,1170,ALVARO OBREGON,Uinida Habitacional Santa Fe,2349.13,37586.08
CRISTO REY,1170,ALVARO OBREGON,Unid Habitacional Santa Fe,2349.13,88092.375
CRISTO REY,1170,ALVARO OBREGON,Unida Sta Fe,2349.13,3958284.05
CRISTO REY,1170,ALVARO OBREGON,Unidad Hab Santa Fe,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,Unidad Hab Santa Fe Imss,2349.13,197326.92
CRISTO REY,1170,ALVARO OBREGON,Unidad Hab Sta Fe,2349.13,168354.3167
CRISTO REY,1170,ALVARO OBREGON,Unidad Hab. Sta. Fe Imss,2349.13,469826
CRISTO REY,1170,ALVARO OBREGON,Unidad Habiatcional Santa Fe,2349.13,197326.92
CRISTO REY,1170,ALVARO OBREGON,Unidad Habit. Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacioanal Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacioanl Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacion Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional,2349.13,84568.68
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Santa Feentrada B,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Santa Ge,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Sata Fe,2349.13,31321.73333
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Snata Fe,2349.13,110409.11
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Sta Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Sta. Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Sta.fe,2349.13,37586.08
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Sta-fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacionala Santa Fe,2349.13,197326.92
CRISTO REY,1170,ALVARO OBREGON,Unidad Sta Fe,2349.13,157391.71
CRISTO REY,1170,ALVARO OBREGON,Unidad Sta. Fe,2349.13,140947.8
CRISTO REY,1170,ALVARO OBREGON,Unidadhabitacional Santa Fe,2349.13,28189.56
CRISTO REY,1170,ALVARO OBREGON,Y Habitacional Sta Fe,2349.13,110409.11
CRISTO REY,1180,ALVARO OBREGON,U. Habit. Sta. Fe,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,,2349.13,51680.86
CRISTO REY,1209,ALVARO OBREGON,"/ui/./i//u,j",2349.13,197326.92
CRISTO REY,1209,ALVARO OBREGON,U Hab Sta Fe,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,U Habit Fe,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,U Habit Sata Fe,2349.13,153868.015
CRISTO REY,1209,ALVARO OBREGON,U Habita Sta Fe,2349.13,197326.92
CRISTO REY,1209,ALVARO OBREGON,U Habitsta Fe,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,U Habt Sta Fe,2349.13,197326.92
CRISTO REY,1209,ALVARO OBREGON,Uni Hab Sta Fe,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,UNID HAB STA FE,2349.13,110409.11
CRISTO REY,1209,ALVARO OBREGON,Unidad Habiatcional Santa Fe Imss,2349.13,197326.92
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacional Sanra Fe Imss,2349.13,206723.44
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacional Snta Fe Imss,2349.13,197326.92
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacionl Santa Fe Imss,2349.13,197326.92
CRISTO REY,1410,ALVARO OBREGON,U Habit Sta Fe,2349.13,107746.7627
CRISTO REY,1700,ALVARO OBREGON,Unid. Habit. Santa Fe,2349.13,218469.09
CRISTO REY,1700,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,18793.04
CRISTO REY,1809,ALVARO OBREGON,Unidad Habitacion Santa Fe Imss,2349.13,197326.92
CRISTO REY,1809,ALVARO OBREGON,Unidad Habitacional Santa Fe Imss,2349.13,197326.92
CRISTO REY,11700,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,84568.68
CRISTO REY,61170,ALVARO OBREGON,Unidad Sta Fe,2349.13,
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Santa Fe Imss,2349.13,156406.591
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,161719.0547
CRISTO REY,1209,ALVARO OBREGON,Unidad Habitacional Sata Fe Imss,2349.13,180491.4883
1RA VICTORIA,1170,ALVARO OBREGON,1RA VICTORIA,2349.13,212091.6071
CRISTO REY,1180,ALVARO OBREGON,U Habit Sta Fe,2349.13,150246.4396
CRISTO REY,1170,ALVARO OBREGON,Unidad Habitacional Santa Fe,2349.13,83545.43933
LOMAS AXOMIATLA,1810,ALVARO OBREGON,,2348.75,2279508.85
LOMAS AXOMIATLA,1810,ALVARO OBREGON,Axiomiatla,2348.75,3039282.5
LOMAS AXOMIATLA,1810,ALVARO OBREGON,Lomas Axomiatla,2348.75,1594801.25
LOMAS AXOMIATLA,1810,ALVARO OBREGON,Lomas de Axomiatal,2348.75,1122138.8
LOMAS AXOMIATLA,1810,ALVARO OBREGON,Villa Verdum,2348.75,760995
LOMAS AXOMIATLA,1820,ALVARO OBREGON,Colonia Axomiatla,2348.75,1023185.963
LOMAS AXOMIATLA,1820,ALVARO OBREGON,Lonas de Axiomatla,2348.75,1110418.538
SAN BARTOLO AMEYALCO,1600,ALVARO OBREGON,Villa Verdum,2348.75,1576011.25
SAN BARTOLO AMEYALCO,1600,ALVARO OBREGON,Villa Verdun,2348.75,2534076.441
SAN BARTOLO AMEYALCO,1810,ALVARO OBREGON,,2348.75,965336.25
SAN BARTOLO AMEYALCO,1810,ALVARO OBREGON,Fraccionamiento Villa Verdum,2348.75,943563.3375
SAN BARTOLO AMEYALCO,1810,ALVARO OBREGON,Villa Verdum,2348.75,1903270.417
SAN BARTOLO AMEYALCO,1810,ALVARO OBREGON,Villa Verdun,2348.75,924906.9733
VERDUN,1480,ALVARO OBREGON,Villa Verdun,2348.75,527188.6813
VERDUN,1700,ALVARO OBREGON,Tetelpan,2348.75,1118005
VERDUN,1729,ALVARO OBREGON,Villa Verdun,2348.75,1215910.789
VERDUN,1810,ALVARO OBREGON,,2348.75,691860.1213
VERDUN,1810,ALVARO OBREGON,Frac. Villa Verdun,2348.75,495586.25
VERDUN,1810,ALVARO OBREGON,Fracc Villa Verdun,2348.75,375541.6375
VERDUN,1810,ALVARO OBREGON,Fracc. Villa Verdum,2348.75,517312.1875
VERDUN,1810,ALVARO OBREGON,Fracc. Villa Verdun,2348.75,665119.025
VERDUN,1810,ALVARO OBREGON,Fracc.Villa Verdun,2348.75,737507.5
VERDUN,1810,ALVARO OBREGON,Illa Verdun,2348.75,687690.5125
VERDUN,1810,ALVARO OBREGON,Villa Berdun,2348.75,690203.675
VERDUN,1810,ALVARO OBREGON,VILLA VEDUM,2348.75,1319997.5
VERDUN,1810,ALVARO OBREGON,Villa Veraum,2348.75,777809.4403
VERDUN,1810,ALVARO OBREGON,Villa Verdaum,2348.75,917445.2375
VERDUN,1810,ALVARO OBREGON,Villa Verdon,2348.75,1080013.969
VERDUN,1810,ALVARO OBREGON,Villa Verdum,2348.75,808425.1878
VERDUN,1810,ALVARO OBREGON,Villa Verdun,2348.75,783524.9714
VERDUN,1810,ALVARO OBREGON,Villa Verlun,2348.75,1757640.088
VERDUN,1810,ALVARO OBREGON,Villaa Verdun,2348.75,662347.5
VERDUN,1820,ALVARO OBREGON,Villa Verdun,2348.75,755639.85
LOMAS AXOMIATLA,1810,ALVARO OBREGON,Lomas de Axomiatla,2347.215,1167460.029
BARRIO DE CARAMAGUEY,14410,TLALPAN,Miguel Hidalgo,2346.0736,962063.306
TEPALCATES,9210,IZTAPALAPA,,2345.176497,390289.4357
ESTACION PANTACO,2230,AZCAPOTZALCO,Industrial Vallejo,2343.947143,316857766
AMPLIACION GABRIEL RAMOS MILLAN,8020,IZTACALCO,,2343.455882,568562.6759
CAMPAMENTO 2 DE OCTUBRE,8930,IZTACALCO,Fracc. Benito Juarez,2343.142525,265622.1063
SAN FRANCISCO CULHUACAN BARRIO DE SAN FRANCISCO,4260,COYOACAN,San Fco Culhuacan,2343.105714,673317.2181
NUEVA TENOCHTITLAN,7899,GUSTAVO A. MADERO,Malinche,2342.7975,1265015.464
CAMPAMENTO 2 DE OCTUBRE,8930,IZTACALCO,Benito Juarez,2341.485423,341159.4196
CAMPAMENTO 2 DE OCTUBRE,8930,IZTACALCO,CAMPAMENTO DOS DE OCTUBRE,2341.406779,298850.1786
D M NACIONAL,7450,GUSTAVO A. MADERO,Colonia Dm Nacional,2341.241399,126192.2864
BARRIO SAN MIGUEL,9360,IZTAPALAPA,BO. SAN MIGUEL,2340.875476,331839.3639
CUAJIMALPA,5000,CUAJIMALPA DE MORELOS,La Candelaria,2340.59,1050968.047
SANTA ISABEL INDUSTRIAL,9820,IZTAPALAPA,Sta Isabel Industrial,2339.518667,2379385.192
CAMPAMENTO 2 DE OCTUBRE,8930,IZTACALCO,CAMPAMENTO 2 DE OCTUBRE,2339.289794,416016.304
CAMPAMENTO 2 DE OCTUBRE,8930,IZTACALCO,,2339.048063,279743.5876
GABRIEL RAMOS MILLAN SECCION BRAMADERO,8000,IZTACALCO,Colonia Gabriel Ramos Millan Seccion Bramadero,2339.017742,252685.7837
MIGUEL HIDALGO,14000,TLALPAN,Miguel Hidalgo,2338.96,670390.24
GRANJAS NAVIDAD,5210,CUAJIMALPA DE MORELOS,GRANJAS NAVIDAD,2338.11,957025.3055
